step_bin,correct,n,gold_mention_rate,control_mention_rate,median_suffix_fraction
0,False,482,0.2676348547717842,0.0995850622406639,0.47534643893006767
0,True,1118,1.0,0.08050089445438283,0.28302749863124993
25,False,454,0.2753303964757709,0.11674008810572688,0.6083289404322615
25,True,1146,1.0,0.0881326352530541,0.24249481313928295
50,False,436,0.2775229357798165,0.11238532110091744,0.6501188275679958
50,True,1164,1.0,0.08934707903780069,0.2412541640778722
75,False,463,0.3347732181425486,0.12095032397408208,0.6998191681735986
75,True,1137,1.0,0.10026385224274406,0.32413793103448274
100,False,411,0.2846715328467153,0.11435523114355231,0.5644490644490645
100,True,1189,1.0,0.08410428931875526,0.37011494252873567
125,False,488,0.26639344262295084,0.11885245901639344,0.545301878776435
125,True,1112,1.0,0.07823741007194245,0.42104350549182895
150,False,428,0.2383177570093458,0.1191588785046729,0.5263123061795628
150,True,1172,1.0,0.09897610921501707,0.3993222946176719
175,False,469,0.27505330490405117,0.12153518123667377,0.6705084745762712
175,True,1131,1.0,0.07515473032714412,0.3816300129366106
200,False,444,0.22972972972972974,0.11486486486486487,0.6123389354991235
200,True,1156,1.0,0.09169550173010381,0.37982347462645377
225,False,342,0.30994152046783624,0.11403508771929824,0.6065910585141354
225,True,1258,1.0,0.10254372019077901,0.37483685332139277
250,False,422,0.22748815165876776,0.0924170616113744,0.5574716847076524
250,True,1178,1.0,0.0899830220713073,0.3748385256765145
275,False,394,0.2969543147208122,0.12944162436548223,0.620183486238532
275,True,1206,1.0,0.087893864013267,0.35615509140443
