step,current_accuracy,ever_solved_accuracy,forgetting_gap,forgetting_ratio_among_ever_solved
0,0.7049377759935769,0.7049377759935769,0.0,0.0
25,0.7505687140372006,0.8253713368125251,0.07480262277532446,0.09062905317769131
50,0.7184530978188144,0.8640438913421651,0.1455907935233507,0.1684993030819266
75,0.7298273785628262,0.887729158303225,0.15790177974039876,0.17787157069641243
100,0.7453499264017128,0.9020473705339221,0.15669744413220932,0.1737130989467438
125,0.7268834470761407,0.9114144252642847,0.184530978188144,0.20246659815005139
150,0.7300950086979794,0.9167670279673491,0.18667201926936972,0.20361990950226244
175,0.7168473170078951,0.9211829251973772,0.20433560818948215,0.22181871005229517
200,0.7351799812658906,0.9249297470895222,0.18974976582363168,0.20515046296296297
225,0.7452161113341362,0.9273384183059012,0.182122306971765,0.1963924963924964
250,0.7505687140372006,0.9302823497925866,0.17971363575538601,0.19318181818181818
275,0.7512377893750837,0.9328248360765422,0.18158704670145853,0.194663606369244
300,0.7552522414023819,0.9353673223604978,0.1801150809581159,0.19256080114449214
