lag,forgetting_rate,forgotten,solved_at_start,checkpoint_pairs,mean_pairwise_rate
25,0.10317472378839228,6789,65801,12,0.10322659261605506
50,0.11198431554986957,6740,60187,11,0.11208678360736245
75,0.11398365641833706,6221,54578,10,0.11400840590181024
100,0.11569303597298455,5670,49009,9,0.11558533377995166
125,0.120142479604734,5228,43515,8,0.12007742890617065
150,0.12246448975313172,4673,38158,7,0.1224050837900342
175,0.12344810714940982,4037,32702,6,0.12352975515893894
200,0.122002200220022,3327,27270,5,0.12203625501440782
225,0.12161290322580645,2639,21700,4,0.1215375863848376
250,0.12181460051705036,1979,16246,3,0.12169498939769076
275,0.1214489289326101,1321,10877,2,0.12130586784743523
300,0.11522399392558846,607,5268,1,0.11522399392558846
