start_step,end_step,lag,solved_at_start,forgotten,forgetting_rate
0,25,25,5268,559,0.10611237661351557
0,50,50,5268,778,0.14768413059984814
0,75,75,5268,732,0.13895216400911162
0,100,100,5268,636,0.12072892938496584
0,125,125,5268,695,0.13192862566438876
0,150,150,5268,712,0.13515565679574792
0,175,175,5268,775,0.14711465451784358
0,200,200,5268,681,0.12927107061503418
0,225,225,5268,646,0.12262718299164768
0,250,250,5268,621,0.11788154897494305
0,275,275,5268,615,0.11674259681093394
0,300,300,5268,607,0.11522399392558846
25,50,25,5609,832,0.14833303619183455
25,75,50,5609,809,0.1442324835086468
25,100,75,5609,734,0.13086111606346942
25,125,100,5609,809,0.1442324835086468
25,150,125,5609,818,0.14583704760206812
25,175,150,5609,882,0.15724728115528613
25,200,175,5609,781,0.13924050632911392
25,225,200,5609,746,0.13300053485469782
25,250,225,5609,741,0.13210911035835265
25,275,250,5609,719,0.12818684257443394
25,300,275,5609,706,0.12586913888393653
50,75,25,5369,669,0.12460420934997206
50,100,50,5369,622,0.11585025144347179
50,125,75,5369,709,0.13205438629167443
50,150,100,5369,722,0.1344756937977277
50,175,125,5369,812,0.15123859191655803
50,200,150,5369,702,0.13075060532687652
50,225,175,5369,661,0.12311417396163159
50,250,200,5369,655,0.12199664742037623
50,275,225,5369,640,0.11920283106723785
50,300,250,5369,639,0.11901657664369529
75,100,25,5454,587,0.10762742940960762
75,125,50,5454,711,0.13036303630363036
75,150,75,5454,698,0.12797946461312798
75,175,100,5454,778,0.14264759809314265
75,200,125,5454,716,0.1312797946461313
75,225,150,5454,647,0.11862852951961862
75,250,175,5454,656,0.12027869453612028
75,275,200,5454,627,0.11496149614961496
75,300,225,5454,612,0.11221122112211221
100,125,25,5570,691,0.12405745062836625
100,150,50,5570,718,0.1289048473967684
100,175,75,5570,804,0.14434470377019748
100,200,100,5570,709,0.1272890484739677
100,225,125,5570,661,0.11867145421903053
100,250,150,5570,658,0.11813285457809695
100,275,175,5570,626,0.11238779174147218
100,300,200,5570,618,0.11095152603231598
125,150,25,5432,582,0.10714285714285714
125,175,50,5432,659,0.1213181148748159
125,200,75,5432,595,0.1095360824742268
125,225,100,5432,529,0.0973858615611193
125,250,125,5432,536,0.09867452135493372
125,275,150,5432,543,0.09996318114874816
125,300,175,5432,538,0.09904270986745213
150,175,25,5456,617,0.11308651026392962
150,200,50,5456,549,0.10062316715542521
150,225,75,5456,527,0.09659090909090909
150,250,100,5456,555,0.10172287390029326
150,275,125,5456,536,0.09824046920821114
150,300,150,5456,529,0.0969574780058651
175,200,25,5357,471,0.08792234459585589
175,225,50,5357,473,0.08829568788501027
175,250,75,5357,461,0.086055628150084
175,275,100,5357,461,0.086055628150084
175,300,125,5357,454,0.08474892663804368
200,225,25,5494,467,0.0850018201674554
200,250,50,5494,462,0.08409173643975246
200,275,75,5494,468,0.085183836912996
200,300,100,5494,471,0.08572988714961777
225,250,25,5569,487,0.08744837493266296
225,275,50,5569,481,0.0863709822230203
225,300,75,5569,493,0.08852576764230562
250,275,25,5609,456,0.08129791406667855
250,300,50,5609,478,0.08522018185059725
275,300,25,5614,371,0.06608478802992519
